YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,0,24015,27900,Craigslist
2013,10,89218,12988,Craigslist
2016,7,59951,17888,Craigslist
2017,6,77000,16500,Craigslist
2019,4,35365,18985,Craigslist
2007,16,180973,4595,Cargurus
2000,23,206796,1995,Cargurus
2008,15,182322,2390,Cargurus
2021,2,44487,22991,Cargurus
2023,0,4245,28845,Cargurus
2021,2,51965,20890,Autotrader
2022,1,15625,24188,Autotrader
2010,13,157320,7600,Autotrader
2016,7,84907,17000,Autotrader
2014,9,171596,10500,Autotrader
2023,0,8368,26358,Autotrader