Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
8/23/2024,Friday,,N/A,,Cash,Need
8/24/2024,Saturday,99.80,Clothing,Entertainment and Recreation,Cash,Want
8/24/2024,Saturday,6.45,Coffee,Entertainment and Recreation,Cash,Want
8/25/2024,Sunday,6.45,Coffee,Entertainment and Recreation,Cash,Want
8/26/2024,Monday,18.73,Coffee/Chick-fil-a,Food,Debit,Want
8/27/2024,Tuesday,27.70,Mom's Tofu ,Food,Debit,Need
8/27/2024,Tuesday,6.45,Coffee,Entertainment and Recreation,Cash,Want
8/27/2024,Tuesday,34.99,Water,Food,Debit,Need
8/28/2024,Wednesday,6.45,Coffee,Entertainment and Recreation,Cash,Want
8/28/2024,Wednesday,10.00,Bagel,Food,Debit,Need
8/29/2024,Thursday,,N/A,Financial goals and Savings,Cash,Savings
8/30/2024,Friday,,N/A,Financial goals and Savings,Cash,Savings
8/31/2024,Saturday,6.45,Coffee,Entertainment and Recreation,Debit,Want
8/31/2024,Saturday,15.95,Tokyo Sushi&Bar,Food,Debit,Need
9/1/2024,Sunday,,N/A,Financial goals and Savings,,Savings
9/2/2024,Monday,6.45,Coffee,Entertainment and Recreation,Debit,Want
9/3/2024,Tuesday,5.45,Refresher,Entertainment and Recreation,Cash,Want